"latin","common","common_name","scientific_name"
"Liparis bristolense","Bristol snailfish","Bristol_snailfish","Liparis_bristolense"
"Liparis dennyi","marbled snailfish","marbled_snailfish","Liparis_dennyi"
"Liparis gibbus","variegated snailfish","variegated_snailfish","Liparis_gibbus"
"Crystallichthys cyclospilus","blotched snailfish","blotched_snailfish","Crystallichthys_cyclospilus"
"Liparis megacephalus","bighead snailfish","bighead_snailfish","Liparis_megacephalus"
"Liparis pulchellus","showy snailfish","showy_snailfish","Liparis_pulchellus"
"Liparis callyodon","spotted snailfish","spotted_snailfish","Liparis_callyodon"
"Liparis ochotensis","Okhotsk snailfish","Okhotsk_snailfish","Liparis_ochotensis"
"Liparis cyclopus","ribbon snailfish","ribbon_snailfish","Liparis_cyclopus"
"Liparis rutteri","ringtail snailfish","ringtail_snailfish","Liparis_rutteri"
"Elassodiscus","","","Elassodiscus"
"Elassodiscus caudatus","humpback snailfish","humpback_snailfish","Elassodiscus_caudatus"
"Elassodiscus tremebundus","blacklip snailfish","blacklip_snailfish","Elassodiscus_tremebundus"
"Allocareproctus jordani","Jordan's snailfish","Jordan's_snailfish","Allocareproctus_jordani"
"Careproctus","","","Careproctus"
"Careproctus melanurus","blacktail snailfish","blacktail_snailfish","Careproctus_melanurus"
"Careproctus bowersianus","large disk all red snailfish","large_disk_all_red_snailfish","Careproctus_bowersianus"
"Careproctus simis","long snouted pink snailfish","long_snouted_pink_snailfish","Careproctus_simis"
"Careproctus ectenes","shovelhead snailfish","shovelhead_snailfish","Careproctus_ectenes"
"Careproctus canus","gray snailfish","gray_snailfish","Careproctus_canus"
"Careproctus cypselurus","blackfin snailfish","blackfin_snailfish","Careproctus_cypselurus"
"Careproctus furcellus","emarginate snailfish","emarginate_snailfish","Careproctus_furcellus"
"Careproctus abbreviatus","short snailfish","short_snailfish","Careproctus_abbreviatus"
"Paraliparis ulochir","blackfaced red snailfish","blackfaced_red_snailfish","Paraliparis_ulochir"
"Careproctus scottae","peachskin snailfish","peachskin_snailfish","Careproctus_scottae"
"Careproctus gilberti","smalldisk snailfish","smalldisk_snailfish","Careproctus_gilberti"
"Careproctus colletti","Alaska snailfish","Alaska_snailfish","Careproctus_colletti"
"Careproctus rastrinus","salmon snailfish","salmon_snailfish","Careproctus_rastrinus"
"Careproctus ovigerum","abyssal snailfish","abyssal_snailfish","Careproctus_ovigerum"
"Liparis tunicatus","kelp snailfish","kelp_snailfish","Liparis_tunicatus"
"Careproctus zachirus","paintbrush snailfish","paintbrush_snailfish","Careproctus_zachirus"
"Careproctus candidus","bigeye snailfish","bigeye_snailfish","Careproctus_candidus"
"Paraliparis dactylosus","red snailfish","red_snailfish","Paraliparis_dactylosus"
"Paraliparis rosaceus","rosy snailfish","rosy_snailfish","Paraliparis_rosaceus"
"Paraliparis deani","prickly snailfish","prickly_snailfish","Paraliparis_deani"
"Paraliparis cephalus","swellhead snailfish","swellhead_snailfish","Paraliparis_cephalus"
"Careproctus sp. G (Orr)","big mouth and disk red snailfish","big_mouth_and_disk_red_snailfish","Careproctus_sp._G_(Orr)"
"Careproctus oregonensis","Oregon snailfish","Oregon_snailfish","Careproctus_oregonensis"
"Careproctus microstomus","smallmouth snailfish","smallmouth_snailfish","Careproctus_microstomus"
"Paraliparis pectoralis","broadfin snailfish","broadfin_snailfish","Paraliparis_pectoralis"
"Paraliparis","","","Paraliparis"
"Careproctus ostentum","microdisk snailfish","microdisk_snailfish","Careproctus_ostentum"
"Paraliparis paucidens","toothless snailfish","toothless_snailfish","Paraliparis_paucidens"
"Lipariscus nanus","pygmy snailfish","pygmy_snailfish","Lipariscus_nanus"
"Paraliparis dipterus","splitfin snailfish","splitfin_snailfish","Paraliparis_dipterus"
"Nectoliparis pelagicus","tadpole snailfish","tadpole_snailfish","Nectoliparis_pelagicus"
"Rhinoliparis","","","Rhinoliparis"
"Rhinoliparis barbulifer","longnose snailfish","longnose_snailfish","Rhinoliparis_barbulifer"
"Rhinoliparis attenuatus","slim snailfish","slim_snailfish","Rhinoliparis_attenuatus"
"Prognatholiparis ptychomandibularis","wrinkle-jaw snailfish","wrinkle-jaw_snailfish","Prognatholiparis_ptychomandibularis"
"Liparidae n. gen. (Orr)","hardhead snailfish","hardhead_snailfish","Liparidae_n._gen._(Orr)"
"Acantholiparis opercularis","spiny snailfish","spiny_snailfish","Acantholiparis_opercularis"
"Melamphaidae","bigscale unident.","bigscale_unident.","Melamphaidae"
"Poromitra crassiceps","crested bigscale","crested_bigscale","Poromitra_crassiceps"
"Melamphaes lugubris","highsnout bigscale","highsnout_bigscale","Melamphaes_lugubris"
"Allocyttus folletti","oxeye oreo","oxeye_oreo","Allocyttus_folletti"
"Melanostomiinae","scaleless dragonfish unident.","scaleless_dragonfish_unident.","Melanostomiinae"
"Tactostoma macropus","longfin dragonfish","longfin_dragonfish","Tactostoma_macropus"
"Bathophilus flemingi","highfin dragonfish","highfin_dragonfish","Bathophilus_flemingi"
"Borostomias panamensis","","","Borostomias_panamensis"
"Caristius macropus","manefish","manefish","Caristius_macropus"
"Merluccius productus","Pacific hake","Pacific_hake","Merluccius_productus"
"Anotopterus nikparini","North Pacific daggertooth","North_Pacific_daggertooth","Anotopterus_nikparini"
"Mola mola","ocean sunfish","ocean_sunfish","Mola_mola"
"Scopelengys tristis","blackchin","blackchin","Scopelengys_tristis"
"Myctophidae","lanternfish unident.","lanternfish_unident.","Myctophidae"
"Stenobrachius","","","Stenobrachius"
"Stenobrachius leucopsarus","northern lampfish","northern_lampfish","Stenobrachius_leucopsarus"
"Stenobrachius nannochir","garnet lampfish","garnet_lampfish","Stenobrachius_nannochir"
"Diaphus","","","Diaphus"
"Diaphus theta","California headlightfish","California_headlightfish","Diaphus_theta"
"Lampanyctus","","","Lampanyctus"
"Lampanyctus ritteri","broadfin lanternfish","broadfin_lanternfish","Lampanyctus_ritteri"
"Lampanyctus regalis","pinpoint lampfish","pinpoint_lampfish","Lampanyctus_regalis"
"Lampanyctus jordani","brokenline lampfish","brokenline_lampfish","Lampanyctus_jordani"
"Ceratoscopelus townsendi","dogtooth lampfish","dogtooth_lampfish","Ceratoscopelus_townsendi"
"Hygophum reinhardtii","slender lanternfish","slender_lanternfish","Hygophum_reinhardtii"
"Notoscopelus resplendens","patchwork lampfish","patchwork_lampfish","Notoscopelus_resplendens"
"Protomyctophum crockeri","California flashlightfish","California_flashlightfish","Protomyctophum_crockeri"
"Protomyctophum","","","Protomyctophum"
"Protomyctophum thompsoni","northern flashlightfish","northern_flashlightfish","Protomyctophum_thompsoni"
"Tarletonbeania","","","Tarletonbeania"
"Tarletonbeania crenularis","blue lanternfish","blue_lanternfish","Tarletonbeania_crenularis"
"Symbolophorus californiensis","California lanternfish","California_lanternfish","Symbolophorus_californiensis"
"Nemichthyidae","snipe eel unident.","snipe_eel_unident.","Nemichthyidae"
"Nemichthys scolopaceus","slender snipe eel","slender_snipe_eel","Nemichthys_scolopaceus"
"Avocettina","","","Avocettina"
"Avocettina infans","blackline snipe eel","blackline_snipe_eel","Avocettina_infans"
"Nemichthys larseni","pale snipe eel","pale_snipe_eel","Nemichthys_larseni"
"Leptocephalus","eel larva unid.","eel_larva_unid.","Leptocephalus"
"Serrivomer sector","sawtooth eel","sawtooth_eel","Serrivomer_sector"
"Linophrynidae","","","Linophrynidae"
"Notacanthidae","deep-sea spiny eel unident.","deep-sea_spiny_eel_unident.","Notacanthidae"
"Polyacanthonotus challengeri","","","Polyacanthonotus_challengeri"
"Notacanthus chemnitzii","snubnosed spiny eel","snubnosed_spiny_eel","Notacanthus_chemnitzii"
"Oneirodidae","dreamer unident.","dreamer_unident.","Oneirodidae"
"Oneirodes","","","Oneirodes"
"Oneirodes acanthias","spiny dreamer","spiny_dreamer","Oneirodes_acanthias"
"Oneirodes bulbosus","bulbous dreamer","bulbous_dreamer","Oneirodes_bulbosus"
"Oneirodes thompsoni","","","Oneirodes_thompsoni"
"Chaenophryne longiceps","","","Chaenophryne_longiceps"
"Chaenophryne melanorhabdus","","","Chaenophryne_melanorhabdus"
"Chaenophryne draco","smooth dreamer","smooth_dreamer","Chaenophryne_draco"
"Gigantactis vanhoeffeni","whipnose","whipnose","Gigantactis_vanhoeffeni"
"Gigantactis microdontis","","","Gigantactis_microdontis"
"Caulophryne jordani","fanfin angler","fanfin_angler","Caulophryne_jordani"
"Paralepididae","barracudina or daggertooth unident.","barracudina_or_daggertooth_unident.","Paralepididae"
"Magnisudis atlantica","duckbill barracudina","duckbill_barracudina","Magnisudis_atlantica"
"Lestidiops ringens","slender barracudina","slender_barracudina","Lestidiops_ringens"
"Arctozenus risso","white barracudina","white_barracudina","Arctozenus_risso"
"Osmeridae","smelt unident.","smelt_unident.","Osmeridae"
"Thaleichthys pacificus","eulachon","eulachon","Thaleichthys_pacificus"
"Hypomesus pretiosus","surf smelt","surf_smelt","Hypomesus_pretiosus"
"Allosmerus elongatus","whitebait smelt","whitebait_smelt","Allosmerus_elongatus"
"Mallotus villosus","capelin","capelin","Mallotus_villosus"
"Osmerus mordax","rainbow smelt","rainbow_smelt","Osmerus_mordax"
"Spirinchus starksi","night smelt","night_smelt","Spirinchus_starksi"
"Spirinchus thaleichthys","longfin smelt","longfin_smelt","Spirinchus_thaleichthys"
"Hypomesus olidus","pond smelt","pond_smelt","Hypomesus_olidus"
"Salmonidae","salmon or trout unident.","salmon_or_trout_unident.","Salmonidae"
"Oncorhynchus","salmon unident.","salmon_unident.","Oncorhynchus"
"Oncorhynchus kisutch","coho salmon","coho_salmon","Oncorhynchus_kisutch"
"Oncorhynchus gorbuscha","pink salmon","pink_salmon","Oncorhynchus_gorbuscha"
"Oncorhynchus keta","chum salmon","chum_salmon","Oncorhynchus_keta"
"Oncorhynchus nerka","sockeye salmon","sockeye_salmon","Oncorhynchus_nerka"
"Salvelinus alpinus","Arctic char","Arctic_char","Salvelinus_alpinus"
"Salvelinus malma","dolly varden","dolly_varden","Salvelinus_malma"
"Oncorhynchus mykiss","steelhead","steelhead","Oncorhynchus_mykiss"
"Coregonus laurettae","Bering cisco","Bering_cisco","Coregonus_laurettae"
"Genyonemus lineatus","white croaker","white_croaker","Genyonemus_lineatus"
"Scombridae","mackerel unident.","mackerel_unident.","Scombridae"
"Scomber japonicus","Pacific chub mackerel","Pacific_chub_mackerel","Scomber_japonicus"
"Cololabis saira","Pacific saury","Pacific_saury","Cololabis_saira"
"Neoscopelus macrolepidotus","glowingfish","glowingfish","Neoscopelus_macrolepidotus"
"Benthalbella dentata","northern pearleye","northern_pearleye","Benthalbella_dentata"
"Scopelosaurus harryi","scaly waryfish","scaly_waryfish","Scopelosaurus_harryi"
"Scopelosaurus","","","Scopelosaurus"
"Alepisaurus ferox","longnose lancetfish","longnose_lancetfish","Alepisaurus_ferox"
"Platytroctidae","tubeshoulder unident.","tubeshoulder_unident.","Platytroctidae"
"Sagamichthys abei","shining tubeshoulder","shining_tubeshoulder","Sagamichthys_abei"
"Mirorictus taningi","striped tubeshoulder","striped_tubeshoulder","Mirorictus_taningi"
"Cryptacanthodes aleutensis","dwarf wrymouth","dwarf_wrymouth","Cryptacanthodes_aleutensis"
"Cryptacanthodes giganteus","giant wrymouth","giant_wrymouth","Cryptacanthodes_giganteus"
"Stichaeidae","prickleback unident.","prickleback_unident.","Stichaeidae"
"Lumpenus","","","Lumpenus"
"Plectobranchus evides","bluebarred prickleback","bluebarred_prickleback","Plectobranchus_evides"
"Eumesogrammus praecisus","fourline snakeblenny","fourline_snakeblenny","Eumesogrammus_praecisus"
"Stichaeus punctatus","Arctic shanny","Arctic_shanny","Stichaeus_punctatus"
"Leptoclinus maculatus","daubed shanny","daubed_shanny","Leptoclinus_maculatus"
"Lumpenus medius","stout eelblenny","stout_eelblenny","Lumpenus_medius"
"Lumpenus fabricii","slender eelblenny","slender_eelblenny","Lumpenus_fabricii"
"Lumpenus sagitta","snake prickleback","snake_prickleback","Lumpenus_sagitta"
"Acantholumpenus mackayi","blackline prickleback","blackline_prickleback","Acantholumpenus_mackayi"
"Lumpenella longirostris","longsnout prickleback","longsnout_prickleback","Lumpenella_longirostris"
"Chirolophis","","","Chirolophis"
"Chirolophis decoratus","decorated warbonnet","decorated_warbonnet","Chirolophis_decoratus"
"Chirolophis snyderi","bearded warbonnet","bearded_warbonnet","Chirolophis_snyderi"
"Poroclinus rothrocki","whitebarred prickleback","whitebarred_prickleback","Poroclinus_rothrocki"
"Chirolophis nugator","mosshead warbonnet","mosshead_warbonnet","Chirolophis_nugator"
"Bryozoichthys lysimus","nutcracker prickleback","nutcracker_prickleback","Bryozoichthys_lysimus"
"Bryozoichthys marjorius","pearly prickleback","pearly_prickleback","Bryozoichthys_marjorius"
"Bryozoichthys","","","Bryozoichthys"
"Anoplarchus purpurescens","high cockscomb","high_cockscomb","Anoplarchus_purpurescens"
"Lycenchelys","","","Lycenchelys"
"Anoplarchus insignis","slender cockscomb","slender_cockscomb","Anoplarchus_insignis"
"Pholidae","gunnel unident.","gunnel_unident.","Pholidae"
"Pholis","","","Pholis"
"Pholis laeta","crescent gunnel","crescent_gunnel","Pholis_laeta"
"Stromateidae","butterfish unident.","butterfish_unident.","Stromateidae"
"Peprilus simillimus","Pacific pompano butterfish","Pacific_pompano_butterfish","Peprilus_simillimus"
"Icichthys lockingtoni","medusafish","medusafish","Icichthys_lockingtoni"
"Trachipterus altivelis","king-of-the-salmon","king-of-the-salmon","Trachipterus_altivelis"
"Desmodema lorum","whiptail ribbonfish unident.","whiptail_ribbonfish_unident.","Desmodema_lorum"
"Trichiuridae","cutlassfish unident.","cutlassfish_unident.","Trichiuridae"
"Benthodesmus pacificus","north Pacific frostfish","north_Pacific_frostfish","Benthodesmus_pacificus"
"Benthodesmus","","","Benthodesmus"
"Aphanopus carbo","black scabbardfish","black_scabbardfish","Aphanopus_carbo"
"Lepidopus xantusi","Pacific scabbardfish","Pacific_scabbardfish","Lepidopus_xantusi"
"Anguilliformes","eel unident.","eel_unident.","Anguilliformes"
"Opisthoproctidae","spookfish unident.","spookfish_unident.","Opisthoproctidae"
"Dolichopteryx","","","Dolichopteryx"
"Dolichopteryx longipes","brownsnout spookfish","brownsnout_spookfish","Dolichopteryx_longipes"
"Macropinna microstoma","barreleye","barreleye","Macropinna_microstoma"
"Bathylychnops","","","Bathylychnops"
"Bathylychnops exilis","javelin spookfish","javelin_spookfish","Bathylychnops_exilis"
"Gigantura indica","","","Gigantura_indica"
"Zaprora silenus","prowfish","prowfish","Zaprora_silenus"
"Zoarcidae","eelpout unident.","eelpout_unident.","Zoarcidae"
"Bothrocara brunneum","twoline eelpout","twoline_eelpout","Bothrocara_brunneum"
"Bothrocara pusillum","Alaska eelpout","Alaska_eelpout","Bothrocara_pusillum"
"Bothrocara sp. 1","roundtail bothrocara","roundtail_bothrocara","Bothrocara_sp._1"
"Bothrocara molle","soft eelpout","soft_eelpout","Bothrocara_molle"
"Lycenchelys crotalinus","snakehead eelpout","snakehead_eelpout","Lycenchelys_crotalinus"
"Lycodes cortezianus","bigfin eelpout","bigfin_eelpout","Lycodes_cortezianus"
"Lycenchelys jordani","shortjaw eelpout","shortjaw_eelpout","Lycenchelys_jordani"
"Lycenchelys camchatica","Kamchatka eelpout","Kamchatka_eelpout","Lycenchelys_camchatica"
"Lycenchelys ratmanovi","","","Lycenchelys_ratmanovi"
"Lycodapus endemoscotus","deepwater eelpout","deepwater_eelpout","Lycodapus_endemoscotus"
"Lycodapus fierasfer","blackmouth eelpout","blackmouth_eelpout","Lycodapus_fierasfer"
"Lycodapus dermatinus","looseskin eelpout","looseskin_eelpout","Lycodapus_dermatinus"
"Lycodapus psarostomatus","","","Lycodapus_psarostomatus"
"Lycodapus pachysoma","stout eelpout","stout_eelpout","Lycodapus_pachysoma"
"Lycodapus mandibularis","pallid eelpout","pallid_eelpout","Lycodapus_mandibularis"
"Lycodes","","","Lycodes"
"Lycodes rossi","threespot eelpout","threespot_eelpout","Lycodes_rossi"
"Lycodes soldatovi","dipline eelpout","dipline_eelpout","Lycodes_soldatovi"
"Lycodes raridens","marbled eelpout","marbled_eelpout","Lycodes_raridens"
"Lycodes palearis","wattled eelpout","wattled_eelpout","Lycodes_palearis"
"Lycodes mucosus","saddled eelpout","saddled_eelpout","Lycodes_mucosus"
"Lycodes concolor","ebony eelpout","ebony_eelpout","Lycodes_concolor"
"Lycodes polaris","Canadian eelpout","Canadian_eelpout","Lycodes_polaris"
"Lycodes turneri","polar eelpout","polar_eelpout","Lycodes_turneri"
"Lycodes diapterus","black eelpout","black_eelpout","Lycodes_diapterus"
"Lycodes brevipes","shortfin eelpout","shortfin_eelpout","Lycodes_brevipes"
"Gymnelus viridis","fish doctor","fish_doctor","Gymnelus_viridis"
"Gymnelus","","","Gymnelus"
"Gymnelus hemifasciatus","halfbarred pout","halfbarred_pout","Gymnelus_hemifasciatus"
"Lycodes pacificus","blackbelly eelpout","blackbelly_eelpout","Lycodes_pacificus"
"Bothrocara","","","Bothrocara"
"Pachycara lepinium","scalynape eelpout","scalynape_eelpout","Pachycara_lepinium"
"Lycodapus","","","Lycodapus"
"Lycodapus poecilus","variform eelpout","variform_eelpout","Lycodapus_poecilus"
"Lycodapus parviceps","smallhead eelpout","smallhead_eelpout","Lycodapus_parviceps"
"Lycodapus grossidens","bigtooth eelpout","bigtooth_eelpout","Lycodapus_grossidens"
"Lyconema barbatum","bearded eelpout","bearded_eelpout","Lyconema_barbatum"
"Melanostigma pammelas","midwater eelpout","midwater_eelpout","Melanostigma_pammelas"
"Puzanovia rubra","coral eelpout","coral_eelpout","Puzanovia_rubra"
"Nalbantichthys elongatus","","","Nalbantichthys_elongatus"
"Gibbonsia metzi","striped kelpfish","striped_kelpfish","Gibbonsia_metzi"
"Acipenseridae","sturgeon unident.","sturgeon_unident.","Acipenseridae"
"Acipenser medirostris","green sturgeon","green_sturgeon","Acipenser_medirostris"
"Malacosteinae","loosejaw unident.","loosejaw_unident.","Malacosteinae"
"Photonectes margarita","","","Photonectes_margarita"
"Aristostomias scintillans","shining loosejaw","shining_loosejaw","Aristostomias_scintillans"
"Neonesthes capensis","","","Neonesthes_capensis"
"Lampris guttatus","opah","opah","Lampris_guttatus"
"Stylephorus chordatus","tube-eye","tube-eye","Stylephorus_chordatus"
"Synodontidae","lizardfish unident.","lizardfish_unident.","Synodontidae"
"Synodus lucioceps","California lizardfish","California_lizardfish","Synodus_lucioceps"
"Facciolella gilbertii","dogface witch eel","dogface_witch_eel","Facciolella_gilbertii"
"Venefica","whipsnout eel unident.","whipsnout_eel_unident.","Venefica"
"Howella sherborni","","","Howella_sherborni"
"Howella brodiei","","","Howella_brodiei"
"Eurypharynx pelecanoides","umbrellamouth gulper","umbrellamouth_gulper","Eurypharynx_pelecanoides"
"Saccopharynx","","","Saccopharynx"
"roundfish unident.","roundfish unident.","roundfish_unident.","roundfish_unident."
"Scorpaenidae","scorpionfish unident.","scorpionfish_unident.","Scorpaenidae"
"Sebastolobus","thornyhead unident.","thornyhead_unident.","Sebastolobus"
"Sebastolobus alascanus","shortspine thornyhead","shortspine_thornyhead","Sebastolobus_alascanus"
"Sebastolobus macrochir","broadfin thornyhead","broadfin_thornyhead","Sebastolobus_macrochir"
"Sebastolobus altivelis","longspine thornyhead","longspine_thornyhead","Sebastolobus_altivelis"
"Adelosebastes latens","Aleutian scorpionfish","Aleutian_scorpionfish","Adelosebastes_latens"
"Sebastes","rockfish unident.","rockfish_unident.","Sebastes"
"Sebastes umbrosus","honeycomb rockfish","honeycomb_rockfish","Sebastes_umbrosus"
"Sebastes aleutianus","rougheye rockfish","rougheye_rockfish","Sebastes_aleutianus"
"Sebastes alutus","Pacific ocean perch","Pacific_ocean_perch","Sebastes_alutus"
"Sebastes atrovirens","kelp rockfish","kelp_rockfish","Sebastes_atrovirens"
"Sebastes auriculatus","brown rockfish","brown_rockfish","Sebastes_auriculatus"
"Sebastes aurora","aurora rockfish","aurora_rockfish","Sebastes_aurora"
"Sebastes brevispinis","silvergray rockfish","silvergray_rockfish","Sebastes_brevispinis"
"Sebastes carnatus","gopher rockfish","gopher_rockfish","Sebastes_carnatus"
"Sebastes caurinus","copper rockfish","copper_rockfish","Sebastes_caurinus"
"Sebastes chlorostictus","greenspotted rockfish","greenspotted_rockfish","Sebastes_chlorostictus"
"Sebastes ciliatus","dark (dusky) rockfish","dark_(dusky)_rockfish","Sebastes_ciliatus"
"Sebastes variabilis","light dusky rockfish","light_dusky_rockfish","Sebastes_variabilis"
"Sebastes chrysomelas","black and yellow rockfish","black_and_yellow_rockfish","Sebastes_chrysomelas"
"Sebastes constellatus","starry rockfish","starry_rockfish","Sebastes_constellatus"
"Sebastes crameri","darkblotched rockfish","darkblotched_rockfish","Sebastes_crameri"
"Sebastes dalli","calico rockfish","calico_rockfish","Sebastes_dalli"
"Sebastes diploproa","splitnose rockfish","splitnose_rockfish","Sebastes_diploproa"
"Sebastes elongatus","greenstriped rockfish","greenstriped_rockfish","Sebastes_elongatus"
"Sebastes emphaeus","Puget Sound rockfish","Puget_Sound_rockfish","Sebastes_emphaeus"
"Sebastes entomelas","widow rockfish","widow_rockfish","Sebastes_entomelas"
"Sebastes eos","pink rockfish","pink_rockfish","Sebastes_eos"
"Sebastes flavidus","yellowtail rockfish","yellowtail_rockfish","Sebastes_flavidus"
"Sebastes gilli","bronzespotted rockfish","bronzespotted_rockfish","Sebastes_gilli"
"Sebastes goodei","chilipepper","chilipepper","Sebastes_goodei"
"Sebastes helvomaculatus","rosethorn rockfish","rosethorn_rockfish","Sebastes_helvomaculatus"
"Sebastes hopkinsi","squarespot rockfish","squarespot_rockfish","Sebastes_hopkinsi"
"Sebastes jordani","shortbelly rockfish","shortbelly_rockfish","Sebastes_jordani"
"Sebastes lentiginosus","freckled rockfish","freckled_rockfish","Sebastes_lentiginosus"
"Sebastes levis","cowcod","cowcod","Sebastes_levis"
"Sebastes macdonaldi","Mexican rockfish","Mexican_rockfish","Sebastes_macdonaldi"
"Sebastes maliger","quillback rockfish","quillback_rockfish","Sebastes_maliger"
"Sebastes melanops","black rockfish","black_rockfish","Sebastes_melanops"
"Sebastes melanostomus","blackgill rockfish","blackgill_rockfish","Sebastes_melanostomus"
"Sebastes miniatus","vermilion rockfish","vermilion_rockfish","Sebastes_miniatus"
"Sebastes mystinus","blue rockfish","blue_rockfish","Sebastes_mystinus"
"Sebastes nebulosus","China rockfish","China_rockfish","Sebastes_nebulosus"
"Sebastes nigrocinctus","tiger rockfish","tiger_rockfish","Sebastes_nigrocinctus"
"Sebastes ovalis","speckled rockfish","speckled_rockfish","Sebastes_ovalis"
"Sebastes paucispinis","bocaccio","bocaccio","Sebastes_paucispinis"
"Sebastes pinniger","canary rockfish","canary_rockfish","Sebastes_pinniger"
"Sebastes polyspinis","northern rockfish","northern_rockfish","Sebastes_polyspinis"
"Sebastes proriger","redstripe rockfish","redstripe_rockfish","Sebastes_proriger"
"Sebastes rastrelliger","grass rockfish","grass_rockfish","Sebastes_rastrelliger"
"Sebastes rosaceus","rosy rockfish","rosy_rockfish","Sebastes_rosaceus"
"Sebastes ruberrimus","yelloweye rockfish","yelloweye_rockfish","Sebastes_ruberrimus"
"Sebastes babcocki","redbanded rockfish","redbanded_rockfish","Sebastes_babcocki"
"Sebastes rubrivinctus","flag rockfish","flag_rockfish","Sebastes_rubrivinctus"
"Sebastes saxicola","stripetail rockfish","stripetail_rockfish","Sebastes_saxicola"
"Sebastes semicinctus","halfbanded rockfish","halfbanded_rockfish","Sebastes_semicinctus"
"Sebastes serranoides","olive rockfish","olive_rockfish","Sebastes_serranoides"
"Sebastes serriceps","tree rockfish","tree_rockfish","Sebastes_serriceps"
"Sebastes variegatus","harlequin rockfish","harlequin_rockfish","Sebastes_variegatus"
"Sebastes wilsoni","pygmy rockfish","pygmy_rockfish","Sebastes_wilsoni"
"Sebastes zacentrus","sharpchin rockfish","sharpchin_rockfish","Sebastes_zacentrus"
"Sebastes phillipsi","chameleon rockfish","chameleon_rockfish","Sebastes_phillipsi"
"Sebastes rufus","bank rockfish","bank_rockfish","Sebastes_rufus"
"Sebastes borealis","shortraker rockfish","shortraker_rockfish","Sebastes_borealis"
"Sebastes reedi","yellowmouth rockfish","yellowmouth_rockfish","Sebastes_reedi"
"Sebastes rosenblatti","greenblotched rockfish","greenblotched_rockfish","Sebastes_rosenblatti"
"Sebastes simulator","pinkrose rockfish","pinkrose_rockfish","Sebastes_simulator"
"Sebastomus","","","Sebastomus"
"Scorpaena guttata","California scorpionfish","California_scorpionfish","Scorpaena_guttata"
"Prionotus stephanophrys","lumptail searobin","lumptail_searobin","Prionotus_stephanophrys"
"Dasyatidae","whiptail stingray unident.","whiptail_stingray_unident.","Dasyatidae"
"Pteroplatytrygon violacea","pelagic stingray","pelagic_stingray","Pteroplatytrygon_violacea"
"Myliobatidae","eagle ray or manta unident.","eagle_ray_or_manta_unident.","Myliobatidae"
"Myliobatis californica","bat ray","bat_ray","Myliobatis_californica"
"Hydrolagus","black chimaera","black_chimaera","Hydrolagus"
"Rhinochimaeridae","longnose chimaera unident.","longnose_chimaera_unident.","Rhinochimaeridae"
"Harriotta raleighana","longnose chimaera","longnose_chimaera","Harriotta_raleighana"
"Rhinobatidae","guitarfish unident.","guitarfish_unident.","Rhinobatidae"
"Rhinobatos productus","shovelnose guitarfish","shovelnose_guitarfish","Rhinobatos_productus"
"Zapteryx exasperata","banded guitarfish","banded_guitarfish","Zapteryx_exasperata"
"Platyrhinidae","thornback ray unident.","thornback_ray_unident.","Platyrhinidae"
"Platyrhinoidis triseriata","thornback ray","thornback_ray","Platyrhinoidis_triseriata"
"Myxine circifrons","Whitefaced Hagfish","Whitefaced_Hagfish","Myxine_circifrons"
"Scorpaenodes xyris","Rainbow Scorpionfish","Rainbow_Scorpionfish","Scorpaenodes_xyris"
"Sebastes ensifer","swordspine rockfish","swordspine_rockfish","Sebastes_ensifer"
"Sciaenidae","drum or croaker unident.","drum_or_croaker_unident.","Sciaenidae"
"Seriphus politus","Queenfish","Queenfish","Seriphus_politus"
"Atractoscion nobilis","white seabass","white_seabass","Atractoscion_nobilis"
"Cheilotrema saturnum","black croaker","black_croaker","Cheilotrema_saturnum"
"Myxine hubbsi","","","Myxine_hubbsi"
"Lampetra ayresii","west river lamprey","west_river_lamprey","Lampetra_ayresii"
"Chlamydoselachidae","frill shark unident.","frill_shark_unident.","Chlamydoselachidae"
"Chlamydoselachus anguineus","frill shark ","frill_shark_","Chlamydoselachus_anguineus"
"Hexanchidae","cow shark unident.","cow_shark_unident.","Hexanchidae"
"Notorynchus cepedianus","broadnose sevengill shark","broadnose_sevengill_shark","Notorynchus_cepedianus"
"Echinorhinidae","bramble shark unident.","bramble_shark_unident.","Echinorhinidae"
"Echinorhinus cookei","prickly shark","prickly_shark","Echinorhinus_cookei"
"Squalidae","dogfish shark unident.","dogfish_shark_unident.","Squalidae"
"Heterodontidae","bullhead shark unident.","bullhead_shark_unident.","Heterodontidae"
"Heterodontus francisci","horn shark","horn_shark","Heterodontus_francisci"
"Odontaspididae","sand tiger shark unident.","sand_tiger_shark_unident.","Odontaspididae"
"Odontaspis ferox","ragged-tooth shark","ragged-tooth_shark","Odontaspis_ferox"
"Alopiidae","thresher shark unident.","thresher_shark_unident.","Alopiidae"
"Alopias pelagicus","pelagic thresher","pelagic_thresher","Alopias_pelagicus"
"Alopias superciliosus","bigeye thresher","bigeye_thresher","Alopias_superciliosus"
"Lamnidae","mackerel shark unident.","mackerel_shark_unident.","Lamnidae"
"Isurus oxyrinchus","shortfin mako","shortfin_mako","Isurus_oxyrinchus"
"Triakidae","smoothhound unident.","smoothhound_unident.","Triakidae"
"Mustelus lunulatus","sicklefin smoothhound","sicklefin_smoothhound","Mustelus_lunulatus"
